ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,DAY_OF_WEEK,DAY_WEEK_DESC,DCA_CODE,DCA_DESC,LIGHT_CONDITION,NODE_ID,ROAD_GEOMETRY_DESC,SEVERITY,SPEED_ZONE,RMA,ROAD_NAME,LGA_NAME,LATITUDE,LONGITUDE,YEAR,MONTH,MONTH_NAME,HOUR,TIME_PERIOD,DAY_TYPE
T20190000019,2019-01-01,06:00:00,4,Collision with a fixed object,2,Tuesday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,343730,T intersection,3,50,Local Road,GLENORCHY,WHITTLESEA,-37.63302,145.08519,2019,1,January,6,Morning Peak,Weekday
T20190000021,2019-01-01,08:27:00,4,Collision with a fixed object,2,Tuesday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,343169,T intersection,2,50,Arterial Other,HAMPTON,BAYSIDE,-37.92179,145.00551,2019,1,January,8,Morning Peak,Weekday
T20190000464,2019-01-01,19:30:00,1,Collision with vehicle,2,Tuesday,130,REAR END(VEHICLES IN SAME LANE),1,360401,Not at intersection,3,80,Arterial Other,BALLARAT,MARIBYRNONG,-37.779797,144.8543,2019,1,January,19,Night,Weekday
T20190000081,2019-01-01,22:31:00,2,Struck Pedestrian,2,Tuesday,103,PED PLAYING/LYING/WORKING/STANDING ON CARRIAGEWAY.,3,343437,Not at intersection,3,60,Arterial Highway,PRINCES,EAST GIPPSLAND,-37.8749,148.00748,2019,1,January,22,Night,Weekday
T20190000080,2019-01-01,20:15:00,4,Collision with a fixed object,2,Tuesday,179,OTHER ACCIDENTS-OFF STRAIGHT NOT INCLUDED IN DCAs 170-175,1,344412,Not at intersection,3,50,Local Road,ROCLA,LATROBE,-38.18938,146.56593,2019,1,January,20,Night,Weekday
T20190000947,2019-01-01,01:15:00,4,Collision with a fixed object,2,Tuesday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,3,341404,Not at intersection,3,80,Freeway,WEST GATE,MARIBYRNONG,-37.824345,144.86102,2019,1,January,1,Late Night,Weekday
T20190000071,2019-01-01,23:00:00,4,Collision with a fixed object,2,Tuesday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,3,360657,Not at intersection,2,100,Freeway,CITYLINK,MOONEE VALLEY,-37.73397,144.90907,2019,1,January,23,Night,Weekday
T20190000070,2019-01-01,16:30:00,1,Collision with vehicle,2,Tuesday,120,HEAD ON (NOT OVERTAKING),1,345527,Not at intersection,2,100,Arterial Highway,GLENELG,SOUTHERN GRAMPIANS,-37.71443,141.95844,2019,1,January,16,Afternoon Peak,Weekday
T20190000023,2019-01-01,07:28:00,8,No collision and no object struck,2,Tuesday,182,OFF CARRIAGEWAY ON LEFT BEND,1,344814,Not at intersection,2,100,Arterial Highway,MIDLAND,HEPBURN,-37.385197,144.00668,2019,1,January,7,Morning Peak,Weekday
T20190000025,2019-01-01,10:38:00,2,Struck Pedestrian,2,Tuesday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,1,40099,Cross intersection,2,60,Arterial Other,BARKLY,PORT PHILLIP,-37.860218,144.98248,2019,1,January,10,Midday,Weekday
T20190000067,2019-01-01,03:05:00,4,Collision with a fixed object,2,Tuesday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,3,344190,Not at intersection,2,60,Arterial Highway,MIDLAND,BENDIGO,-36.71122,144.31491,2019,1,January,3,Late Night,Weekday
T20190000030,2019-01-01,12:15:00,6,Vehicle overturned (no collision),2,Tuesday,180,OFF CARRIAGEWAY ON RIGHT BEND,1,342875,Not at intersection,3,100,Local Road,GRASSMERE-HEXHAM,MOYNE,-38.24044,142.54063,2019,1,January,12,Midday,Weekday
T20190000031,2019-01-01,13:52:00,1,Collision with vehicle,2,Tuesday,120,HEAD ON (NOT OVERTAKING),1,341246,Not at intersection,3,80,Arterial Other,BACCHUS MARSH,GEELONG,-38.0299,144.3544,2019,1,January,13,Midday,Weekday
T20190007093,2019-01-01,08:00:00,8,No collision and no object struck,2,Tuesday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,344209,Not at intersection,3,50,Local Road,SOUTH,PYRENEES,-37.43414,143.37735,2019,1,January,8,Morning Peak,Weekday
T20190000035,2019-01-01,15:15:00,1,Collision with vehicle,2,Tuesday,113,RIGHT NEAR (INTERSECTIONS ONLY),1,49400,T intersection,3,60,Arterial Highway,GOULBURN VALLEY,MURRINDINDI,-37.213566,145.41615,2019,1,January,15,Afternoon Peak,Weekday
T20190000036,2019-01-01,15:10:00,4,Collision with a fixed object,2,Tuesday,175,OFF END OF ROAD/T-INTERSECTION.,1,62704,T intersection,3,50,Local Road,ATTERCLIFFE,MORELAND,-37.72921,144.94627,2019,1,January,15,Afternoon Peak,Weekday
T20190000037,2019-01-01,15:50:00,5,collision with some other object,2,Tuesday,166,STRUCK OBJECT ON CARRIAGEWAY,1,341009,Not at intersection,3,80,Arterial Highway,GOULBURN VALLEY,MOIRA,-35.82901,145.55518,2019,1,January,15,Afternoon Peak,Weekday
T20190000041,2019-01-01,15:35:00,1,Collision with vehicle,2,Tuesday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,43815,Cross intersection,2,80,Local Road,BEENAK,YARRA RANGES,-37.79486,145.45699,2019,1,January,15,Afternoon Peak,Weekday
T20190000614,2019-01-01,05:30:00,4,Collision with a fixed object,2,Tuesday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,1,341131,Not at intersection,2,100,Local Road,FINGER POST,MACEDON RANGES,-37.46658,144.48227,2019,1,January,5,Morning Peak,Weekday
T20190000065,2019-01-01,22:30:00,1,Collision with vehicle,2,Tuesday,113,RIGHT NEAR (INTERSECTIONS ONLY),3,45034,T intersection,2,60,Arterial Other,ANDERSON,BRIMBANK,-37.785374,144.82733,2019,1,January,22,Night,Weekday
T20190000064,2019-01-01,20:50:00,3,Struck animal,2,Tuesday,167,STRUCK ANIMAL,5,341097,Not at intersection,2,100,Arterial Other,KIEWA VALLEY,WODONGA,-36.219692,146.984,2019,1,January,20,Night,Weekday
T20190000063,2019-01-01,04:50:00,4,Collision with a fixed object,2,Tuesday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,3,43857,Cross intersection,2,80,Arterial Highway,SOUTH GIPPSLAND,CASEY,-38.08229,145.2766,2019,1,January,4,Late Night,Weekday
T20190000060,2019-01-01,19:12:00,1,Collision with vehicle,2,Tuesday,130,REAR END(VEHICLES IN SAME LANE),1,341850,Not at intersection,3,60,Arterial Other,COBURNS,MELTON,-37.6872,144.56763,2019,1,January,19,Night,Weekday
T20190000059,2019-01-01,17:05:00,4,Collision with a fixed object,2,Tuesday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,340805,Not at intersection,3,100,Freeway,MORNINGTON PENINSULA,MORNINGTON PENINSULA,-38.324333,145.00089,2019,1,January,17,Afternoon Peak,Weekday
T20190000051,2019-01-01,17:27:00,1,Collision with vehicle,2,Tuesday,160,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,1,341873,Not at intersection,2,50,Local Road,BAMFIELD,BAYSIDE,-37.94767,145.00616,2019,1,January,17,Afternoon Peak,Weekday
T20190000049,2019-01-01,14:30:00,4,Collision with a fixed object,2,Tuesday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,340800,Not at intersection,2,50,Local Road,NO3,MANSFIELD,-37.03993,146.41833,2019,1,January,14,Midday,Weekday
T20190000048,2019-01-01,13:25:00,4,Collision with a fixed object,2,Tuesday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,360285,Not at intersection,2,50,Local Road,TEMPLE,WHITTLESEA,-37.690712,145.01878,2019,1,January,13,Midday,Weekday
T20190000009,2019-01-01,02:16:00,4,Collision with a fixed object,2,Tuesday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,3,342191,T intersection,2,60,Arterial Other,HALLAM,CASEY,-38.04193,145.2659,2019,1,January,2,Late Night,Weekday
T20190000022,2019-01-01,07:45:00,4,Collision with a fixed object,2,Tuesday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,340797,Not at intersection,3,100,Freeway,PRINCES,GEELONG,-38.059868,144.38487,2019,1,January,7,Morning Peak,Weekday
T20190002533,2019-01-01,11:00:00,6,Vehicle overturned (no collision),2,Tuesday,189,OTHER ACCIDENTS ON CURVE NOT INCLUDED IN DCAs 180-184,1,343903,Not at intersection,2,100,Local Road,NINYEUNOOK,GANNAWARRA,-35.90119,143.51187,2019,1,January,11,Midday,Weekday
T20190000344,2019-01-01,23:40:00,1,Collision with vehicle,2,Tuesday,121,RIGHT THROUGH,3,29766,Cross intersection,2,60,Arterial Highway,SOUTH GIPPSLAND,CASEY,-38.113033,145.28279,2019,1,January,23,Night,Weekday
T20190000334,2019-01-01,21:00:00,3,Struck animal,2,Tuesday,167,STRUCK ANIMAL,5,341333,Not at intersection,2,100,Local Road,COMMON,GOLDEN PLAINS,-38.085247,144.04337,2019,1,January,21,Night,Weekday
T20190000010,2019-01-01,03:00:00,4,Collision with a fixed object,2,Tuesday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,5,608409,Not at intersection,3,70,Arterial Highway,MELBA,YARRA RANGES,-37.535107,145.41457,2019,1,January,3,Late Night,Weekday
T20190000011,2019-01-01,02:45:00,4,Collision with a fixed object,2,Tuesday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,3,343496,Not at intersection,3,50,Local Road,HONEYSUCKLE,FRANKSTON,-38.123615,145.16537,2019,1,January,2,Late Night,Weekday
T20190000015,2019-01-01,06:00:00,4,Collision with a fixed object,2,Tuesday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,344107,Not at intersection,2,100,Freeway,EASTLINK,KNOX,-37.86743,145.21149,2019,1,January,6,Morning Peak,Weekday
T20190000075,2019-01-02,00:49:00,2,Struck Pedestrian,3,Wednesday,102,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,3,340798,T intersection,2,50,Local Road,MANOR HOUSE,WHITTLESEA,-37.63482,145.01488,2019,1,January,0,Late Night,Weekday
T20190000100,2019-01-02,14:18:00,1,Collision with vehicle,3,Wednesday,121,RIGHT THROUGH,1,1329,T intersection,3,50,Local Road,GRICE,MOONEE VALLEY,-37.749344,144.91823,2019,1,January,14,Midday,Weekday
T20190000072,2019-01-02,00:05:00,1,Collision with vehicle,3,Wednesday,121,RIGHT THROUGH,3,36816,Cross intersection,2,80,Arterial Other,PASCOE VALE,HUME,-37.643826,144.9289,2019,1,January,0,Late Night,Weekday
T20190000107,2019-01-02,10:30:00,6,Vehicle overturned (no collision),3,Wednesday,151,OUT OF CONTROL (OVERTAKING),1,341088,Not at intersection,2,100,Arterial Other,PORTLAND-NELSON,GLENELG,-38.15476,141.27536,2019,1,January,10,Midday,Weekday
T20190000074,2019-01-02,01:45:00,1,Collision with vehicle,3,Wednesday,120,HEAD ON (NOT OVERTAKING),3,41802,T intersection,3,70,Arterial Highway,SPRINGVALE,MONASH,-37.890697,145.16386,2019,1,January,1,Late Night,Weekday
T20190000092,2019-01-02,02:52:00,1,Collision with vehicle,3,Wednesday,121,RIGHT THROUGH,3,38061,Cross intersection,2,70,Arterial Other,DALTON ROAD -KEON,WHITTLESEA,-37.695976,145.02232,2019,1,January,2,Late Night,Weekday
T20190000078,2019-01-02,05:25:00,1,Collision with vehicle,3,Wednesday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),2,44300,Cross intersection,3,40,Local Road,HOGANS,WYNDHAM,-37.860874,144.66702,2019,1,January,5,Morning Peak,Weekday
T20190000079,2019-01-02,07:43:00,1,Collision with vehicle,3,Wednesday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,71833,Cross intersection,3,50,Local Road,BRITANNIA,GEELONG,-38.133923,144.34111,2019,1,January,7,Morning Peak,Weekday
T20190000084,2019-01-02,11:25:00,7,Fall from or in moving vehicle,3,Wednesday,190,FELL IN/FROM VEHICLE,1,342189,Not at intersection,3,50,Arterial Highway,HEYGARTH,CAMPASPE,-36.124153,144.74976,2019,1,January,11,Midday,Weekday
T20190000109,2019-01-02,17:20:00,8,No collision and no object struck,3,Wednesday,184,OUT OF CONTROL ON CARRIAGEWAY (ON BEND),1,341406,Not at intersection,2,40,Arterial Highway,GREAT ALPINE,ALPINE,-36.929924,147.06322,2019,1,January,17,Afternoon Peak,Weekday
T20190000112,2019-01-02,20:10:00,2,Struck Pedestrian,3,Wednesday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,1,36160,T intersection,2,60,Arterial Highway,NEPEAN,FRANKSTON,-38.145336,145.12013,2019,1,January,20,Night,Weekday
T20190000126,2019-01-02,18:02:00,2,Struck Pedestrian,3,Wednesday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,1,342114,Not at intersection,2,30,Arterial Other,MCDONALDS,WHITTLESEA,-37.645947,145.04044,2019,1,January,18,Afternoon Peak,Weekday
T20190000076,2019-01-02,04:40:00,1,Collision with vehicle,3,Wednesday,140,U TURN,3,341004,Not at intersection,3,50,Local Road,MEMORIAL,DANDENONG,-37.95819,145.1701,2019,1,January,4,Late Night,Weekday
T20190000376,2019-01-02,18:00:00,1,Collision with vehicle,3,Wednesday,120,HEAD ON (NOT OVERTAKING),1,341144,Not at intersection,3,60,Local Road,MT BLACKWOOD,MOORABOOL,-37.55162,144.34683,2019,1,January,18,Afternoon Peak,Weekday
T20190000139,2019-01-02,12:10:00,6,Vehicle overturned (no collision),3,Wednesday,182,OFF CARRIAGEWAY ON LEFT BEND,1,341103,Not at intersection,2,100,Arterial Other,MARYSVILLE-WOODS POINT,YARRA RANGES,-37.5451,145.84799,2019,1,January,12,Midday,Weekday
T20190000099,2019-01-02,15:00:00,2,Struck Pedestrian,3,Wednesday,102,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,1,65799,Cross intersection,3,40,Local Road,LA TROBE,MELBOURNE,-37.811756,144.95645,2019,1,January,15,Afternoon Peak,Weekday
T20190000094,2019-01-02,13:12:00,4,Collision with a fixed object,3,Wednesday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,40734,T intersection,2,60,Arterial Other,HIGHBURY,MONASH,-37.858093,145.13622,2019,1,January,13,Midday,Weekday
T20190000125,2019-01-02,13:00:00,1,Collision with vehicle,3,Wednesday,121,RIGHT THROUGH,1,340864,Not at intersection,2,50,Local Road,CENTRAL,GEELONG,-38.16132,144.5608,2019,1,January,13,Midday,Weekday
T20190000095,2019-01-02,13:25:00,1,Collision with vehicle,3,Wednesday,130,REAR END(VEHICLES IN SAME LANE),1,340853,Cross intersection,3,80,Arterial Highway,GREENSBOROUGH,BANYULE,-37.70323,145.0898,2019,1,January,13,Midday,Weekday
T20190000119,2019-01-02,19:42:00,1,Collision with vehicle,3,Wednesday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,38064,Cross intersection,2,60,Arterial Other,STATION,DAREBIN,-37.758575,145.02156,2019,1,January,19,Night,Weekday
T20190000108,2019-01-02,14:35:00,1,Collision with vehicle,3,Wednesday,113,RIGHT NEAR (INTERSECTIONS ONLY),1,52045,T intersection,3,100,Arterial Other,MAFFRA-ROSEDALE,WELLINGTON,-38.102016,146.86395,2019,1,January,14,Midday,Weekday
T20190000148,2019-01-03,17:45:00,1,Collision with vehicle,4,Thursday,132,RIGHT REAR.,1,341329,Not at intersection,3,50,Local Road,LEIGH,CARDINIA,-38.060528,145.50204,2019,1,January,17,Afternoon Peak,Weekday
T20190000146,2019-01-03,14:10:00,5,collision with some other object,4,Thursday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,1,341443,Not at intersection,2,100,Arterial Highway,MURRAY VALLEY,TOWONG,-36.171707,147.57628,2019,1,January,14,Midday,Weekday
T20190000150,2019-01-03,16:10:00,1,Collision with vehicle,4,Thursday,130,REAR END(VEHICLES IN SAME LANE),1,359138,Not at intersection,3,60,Local Road,BERNARD,KINGSTON,-37.95334,145.06271,2019,1,January,16,Afternoon Peak,Weekday
T20190001235,2019-01-03,14:23:00,8,No collision and no object struck,4,Thursday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,341503,Not at intersection,3,60,Arterial Other,HIGH STREET,MONASH,-37.868443,145.11621,2019,1,January,14,Midday,Weekday
T20190000263,2019-01-03,17:00:00,1,Collision with vehicle,4,Thursday,130,REAR END(VEHICLES IN SAME LANE),9,42422,T intersection,3,50,Arterial Other,CENTRE,KINGSTON,-37.92961,145.12758,2019,1,January,17,Afternoon Peak,Weekday
T20190000268,2019-01-03,23:10:00,1,Collision with vehicle,4,Thursday,130,REAR END(VEHICLES IN SAME LANE),5,341959,Not at intersection,3,100,Arterial Highway,GREAT OCEAN,COLAC OTWAY,-38.778847,143.62097,2019,1,January,23,Night,Weekday
T20190000255,2019-01-03,19:45:00,4,Collision with a fixed object,4,Thursday,183,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,1,340957,T intersection,3,60,Local Road,ARTHURS SEAT,MORNINGTON PENINSULA,-38.377777,145.02644,2019,1,January,19,Night,Weekday
T20190000178,2019-01-03,22:00:00,8,No collision and no object struck,4,Thursday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),3,341407,Not at intersection,3,60,Arterial Highway,DELANY,ALPINE,-36.72829,146.9678,2019,1,January,22,Night,Weekday
T20190000167,2019-01-03,20:50:00,1,Collision with vehicle,4,Thursday,130,REAR END(VEHICLES IN SAME LANE),2,341543,T intersection,2,60,Local Road,WESTMELTON,MELTON,-37.676,144.56117,2019,1,January,20,Night,Weekday
T20190000325,2019-01-03,05:25:00,4,Collision with a fixed object,4,Thursday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,5,342329,Not at intersection,3,100,Local Road,STOCK ROUTE,MILDURA,-35.21764,141.99785,2019,1,January,5,Morning Peak,Weekday
T20190000130,2019-01-03,10:40:00,1,Collision with vehicle,4,Thursday,130,REAR END(VEHICLES IN SAME LANE),1,340989,Not at intersection,2,80,Arterial Highway,SPRINGVALE,KINGSTON,-38.00756,145.14136,2019,1,January,10,Midday,Weekday
T20190000159,2019-01-03,18:50:00,4,Collision with a fixed object,4,Thursday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,1,343909,T intersection,2,100,Local Road,MILFORD,SOUTH GIPPSLAND,-38.517815,146.17815,2019,1,January,18,Afternoon Peak,Weekday
T20190000158,2019-01-03,16:45:00,1,Collision with vehicle,4,Thursday,130,REAR END(VEHICLES IN SAME LANE),1,345119,T intersection,3,80,Arterial Highway,SOUTH GIPPSLAND,WELLINGTON,-38.153603,147.08293,2019,1,January,16,Afternoon Peak,Weekday
T20190014839,2019-01-03,13:33:00,1,Collision with vehicle,4,Thursday,120,HEAD ON (NOT OVERTAKING),1,606490,Not at intersection,2,60,Arterial Other,ESPLANADE,MORNINGTON PENINSULA,-38.294926,144.9853,2019,1,January,13,Midday,Weekday
T20190000161,2019-01-03,18:30:00,1,Collision with vehicle,4,Thursday,130,REAR END(VEHICLES IN SAME LANE),1,342200,Cross intersection,3,80,Arterial Other,DORSET,MAROONDAH,-37.82617,145.28758,2019,1,January,18,Afternoon Peak,Weekday
T20190000152,2019-01-03,19:31:00,8,No collision and no object struck,4,Thursday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,244464,Not at intersection,3,40,Arterial Other,HIGH,BOROONDARA,-37.80715,145.02982,2019,1,January,19,Night,Weekday
T20190000134,2019-01-03,10:20:00,4,Collision with a fixed object,4,Thursday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,340969,Not at intersection,2,80,Arterial Other,BOGONG HIGH PLAINS,ALPINE,-36.755566,147.19934,2019,1,January,10,Midday,Weekday
T20190000136,2019-01-03,12:25:00,1,Collision with vehicle,4,Thursday,152,PULLING OUT (OVERTAKING),1,359302,Not at intersection,3,80,Arterial Other,DUNCANS,WYNDHAM,-37.915638,144.68822,2019,1,January,12,Midday,Weekday
T20190020662,2019-01-03,18:00:00,1,Collision with vehicle,4,Thursday,130,REAR END(VEHICLES IN SAME LANE),9,594574,T intersection,3,60,Arterial Highway,HODDLE,YARRA,-37.80948,144.9914,2019,1,January,18,Afternoon Peak,Weekday
T20190000151,2019-01-03,17:57:00,4,Collision with a fixed object,4,Thursday,179,OTHER ACCIDENTS-OFF STRAIGHT NOT INCLUDED IN DCAs 170-175,1,340972,Cross intersection,3,60,Local Road,GOLF LINKS,CASEY,-38.04413,145.33131,2019,1,January,17,Afternoon Peak,Weekday
T20190000213,2019-01-04,07:00:00,1,Collision with vehicle,5,Friday,121,RIGHT THROUGH,1,340934,T intersection,3,60,Local Road,WIDFORD,MORELAND,-37.69486,144.92519,2019,1,January,7,Morning Peak,Weekday
T20190000215,2019-01-04,18:42:00,4,Collision with a fixed object,5,Friday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,341331,Not at intersection,2,100,Arterial Highway,LODDON VALLEY,LODDON,-36.570827,144.0884,2019,1,January,18,Afternoon Peak,Weekday
T20190000217,2019-01-04,19:30:00,4,Collision with a fixed object,5,Friday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,1,341677,Not at intersection,3,100,Arterial Other,KORUMBURRA-WARRAGUL,SOUTH GIPPSLAND,-38.36922,145.8438,2019,1,January,19,Night,Weekday
T20190000219,2019-01-04,19:40:00,4,Collision with a fixed object,5,Friday,175,OFF END OF ROAD/T-INTERSECTION.,1,341049,T intersection,3,60,Local Road,BRODERICK,GEELONG,-38.055447,144.37901,2019,1,January,19,Night,Weekday
T20190000222,2019-01-04,20:53:00,4,Collision with a fixed object,5,Friday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,3,29775,Cross intersection,2,80,Arterial Other,FRANKSTON-FLINDERS,MORNINGTON PENINSULA,-38.238575,145.18924,2019,1,January,20,Night,Weekday
T20190000316,2019-01-04,16:00:00,6,Vehicle overturned (no collision),5,Friday,172,OFF CARRIAGEWAY TO RIGHT,1,54292,T intersection,2,100,Arterial Highway,LODDON VALLEY,LODDON,-36.178047,143.94951,2019,1,January,16,Afternoon Peak,Weekday
T20190000226,2019-01-04,14:45:00,2,Struck Pedestrian,5,Friday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,1,341947,Not at intersection,2,50,Arterial Highway,POINT NEPEAN,MORNINGTON PENINSULA,-38.338463,144.74358,2019,1,January,14,Midday,Weekday
T20190000227,2019-01-04,09:45:00,1,Collision with vehicle,5,Friday,130,REAR END(VEHICLES IN SAME LANE),1,252346,T intersection,3,60,Local Road,LEAKES,WYNDHAM,-37.836212,144.7088,2019,1,January,9,Morning Peak,Weekday
T20190000235,2019-01-04,16:00:00,1,Collision with vehicle,5,Friday,130,REAR END(VEHICLES IN SAME LANE),1,340987,Not at intersection,3,80,Arterial Other,BALLARTO,FRANKSTON,-38.119358,145.2116,2019,1,January,16,Afternoon Peak,Weekday
T20190000262,2019-01-04,19:00:00,1,Collision with vehicle,5,Friday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,280243,Cross intersection,3,80,Freeway,PENINSULA LINK IN-FRANKSTON-DANDENONG,FRANKSTON,-38.10943,145.1613,2019,1,January,19,Night,Weekday
T20190000276,2019-01-04,15:45:00,1,Collision with vehicle,5,Friday,121,RIGHT THROUGH,1,30002,T intersection,2,80,Arterial Highway,DANDENONG,MONASH,-37.924637,145.14363,2019,1,January,15,Afternoon Peak,Weekday
T20190000315,2019-01-04,20:40:00,8,No collision and no object struck,5,Friday,172,OFF CARRIAGEWAY TO RIGHT,2,793,Cross intersection,3,80,Arterial Highway,SPRINGVALE,MONASH,-37.932533,145.15622,2019,1,January,20,Night,Weekday
T20190000521,2019-01-04,15:39:00,1,Collision with vehicle,5,Friday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,29542,Cross intersection,3,40,Arterial Other,GLENFERRIE,BOROONDARA,-37.814693,145.03682,2019,1,January,15,Afternoon Peak,Weekday
T20190000170,2019-01-04,02:10:00,4,Collision with a fixed object,5,Friday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,5,341454,Not at intersection,2,100,Arterial Highway,WESTERN,ARARAT,-37.30958,143.01486,2019,1,January,2,Late Night,Weekday
T20190000182,2019-01-04,10:00:00,1,Collision with vehicle,5,Friday,116,LEFT NEAR (INTERSECTIONS ONLY),1,340952,T intersection,3,70,Arterial Highway,GOLF COURSE,HORSHAM,-36.733513,142.20541,2019,1,January,10,Midday,Weekday
T20190000185,2019-01-04,13:00:00,2,Struck Pedestrian,5,Friday,106,VEH STRIKES PED ON FOOTPATH/MEDIAN/TRAFFIC ISLAND.,1,39558,Cross intersection,3,60,Arterial Highway,WHITEHORSE,WHITEHORSE,-37.816303,145.19366,2019,1,January,13,Midday,Weekday
T20190000190,2019-01-04,12:30:00,1,Collision with vehicle,5,Friday,133,LANE SIDE SWIPE (VEHICLES IN PARALLEL LANES),1,343941,Cross intersection,2,80,Arterial Other,CRANBOURNE-FRANKSTON,FRANKSTON,-38.155315,145.18102,2019,1,January,12,Midday,Weekday
T20190000191,2019-01-04,10:00:00,2,Struck Pedestrian,5,Friday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,1,340944,T intersection,3,60,Arterial Other,MAIN HURSTBRIDGE,NILLUMBIK,-37.674236,145.15906,2019,1,January,10,Midday,Weekday
T20190000197,2019-01-04,15:04:00,1,Collision with vehicle,5,Friday,134,LANE CHANGE RIGHT (NOT OVERTAKING),1,341556,Not at intersection,2,60,Local Road,ROSAMOND,MARIBYRNONG,-37.77335,144.88605,2019,1,January,15,Afternoon Peak,Weekday
T20190000199,2019-01-04,12:30:00,4,Collision with a fixed object,5,Friday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,84833,Not at intersection,3,60,Arterial Other,PARAMOUNT,MARIBYRNONG,-37.80801,144.86118,2019,1,January,12,Midday,Weekday
T20190000203,2019-01-04,15:09:00,1,Collision with vehicle,5,Friday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,51327,Cross intersection,3,50,Local Road,GEORGE,SWAN HILL,-34.58663,142.7765,2019,1,January,15,Afternoon Peak,Weekday
T20190000204,2019-01-04,14:00:00,6,Vehicle overturned (no collision),5,Friday,170,OFF CARRIAGEWAY TO LEFT,1,341155,Not at intersection,2,75,Arterial Other,MT DERRIMUT,BRIMBANK,-37.79868,144.77092,2019,1,January,14,Midday,Weekday
T20190000206,2019-01-04,15:44:00,1,Collision with vehicle,5,Friday,121,RIGHT THROUGH,1,46621,T intersection,3,60,Arterial Highway,WURUNDJERI,MELBOURNE,-37.821846,144.9522,2019,1,January,15,Afternoon Peak,Weekday
T20190000209,2019-01-04,18:30:00,1,Collision with vehicle,5,Friday,130,REAR END(VEHICLES IN SAME LANE),1,38831,Cross intersection,2,60,Local Road,EASTWOOD,MELBOURNE,-37.79454,144.93106,2019,1,January,18,Afternoon Peak,Weekday
T20190000658,2019-01-04,18:17:00,1,Collision with vehicle,5,Friday,147,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,1,345220,Not at intersection,3,60,Local Road,KOOYONG,GLEN EIRA,-37.90002,145.01231,2019,1,January,18,Afternoon Peak,Weekday
